update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3200,6553600,1501.624194968594,3346,0.9513085963470596,0.016578510507825783,0.9043750166893005,0.9775000214576721,34.625,11.78916345632717,16.0,68.0,1.3896329700946808,0.7935197204351425,-0.0007471900607924908,0.0013023158971918747,0.0225866227269376,0.9513085963470596,0.016578510507825783,0.9043750166893005,0.9775000214576721
3300,6758400,1614.479414197002,3463,0.9430187463760376,0.023890095854955058,0.8579687476158142,0.9746875166893005,40.52,16.98851376666011,18.0,101.0,1.439090147614479,0.7638046965003014,0.00813903019297868,0.0020394987950567156,0.0290207282229157,0.9430187463760376,0.023890095854955058,0.8579687476158142,0.9746875166893005
3400,6963200,1703.9328800057128,3581,0.9448187494277954,0.024091745512776597,0.8382812738418579,0.9732812643051147,39.24,17.13191174387727,19.0,115.0,1.4669030606746674,0.7684980258345604,0.009506823058472946,0.0018337792862439528,0.03060389950018473,0.9448187494277954,0.024091745512776597,0.8382812738418579,0.9732812643051147
3500,7168000,1678.7682070540852,3699,0.9410753659173554,0.03713834345282527,0.7721874713897705,0.9775000214576721,41.90196078431372,26.409486487765747,16.0,162.0,1.4397214949131012,0.7668857350945473,0.004640098224626854,0.002311393211130053,0.03262250174635862,0.9410753659173554,0.03713834345282527,0.7721874713897705,0.9775000214576721
3600,7372800,1904.9814184169418,3818,0.9530357112960209,0.013626129846015394,0.9100000262260437,0.9817187786102295,33.3968253968254,9.689692908036529,13.0,64.0,1.4004970788955688,0.7963201776146889,-0.008037996245548129,0.0013488969270838425,0.01998048549029567,0.9530357112960209,0.013626129846015394,0.9100000262260437,0.9817187786102295
3700,7577600,1677.184049409164,3935,0.9477467066363284,0.020136655544729314,0.8762500286102295,0.9775000214576721,37.1578947368421,14.319400989240929,16.0,88.0,1.4714821130037308,0.7737505957484245,-0.002674562107131351,0.0019449936953606084,0.024764416814822814,0.9477467066363284,0.020136655544729314,0.8762500286102295,0.9775000214576721
3800,7782400,1704.7887845874807,4052,0.9454886349764737,0.021684558760027672,0.859375,0.9775000214576721,38.763636363636365,15.420132809666997,16.0,100.0,1.4654299914836884,0.7719260007143021,0.0011631501256488264,0.002125139319105074,0.024411282958106916,0.9454886349764737,0.021684558760027672,0.859375,0.9775000214576721
3900,7987200,1745.7226100845005,4170,0.9450459538721571,0.02031722133951509,0.8973437547683716,0.9817187786102295,39.07843137254902,14.447800751637454,13.0,73.0,1.4793416112661362,0.77011888474226,0.009628247993532568,0.0017237061547348276,0.02813109564057601,0.9450459538721571,0.02031722133951509,0.8973437547683716,0.9817187786102295
4000,8192000,1612.6381086746135,4288,0.9410292117492013,0.019644661916939372,0.9029687643051147,0.9746875166893005,41.93478260869565,13.969535446997332,18.0,69.0,1.457092434167862,0.7654055580496788,0.008796685026027262,0.0016860129835549742,0.020129810446735483,0.9410292117492013,0.019644661916939372,0.9029687643051147,0.9746875166893005
4100,8396800,1842.0299521926327,4405,0.9452389677365621,0.019394641579978087,0.8917187452316284,0.9789062738418579,38.94117647058823,13.791744852153311,15.0,77.0,1.4147767424583435,0.7735446840524673,0.011253712000325322,0.0014028834557393566,0.020583852253415837,0.9452389677365621,0.019394641579978087,0.8917187452316284,0.9789062738418579
4200,8601600,1716.598876548423,4523,0.9475920753819602,0.015707726277865642,0.9057812690734863,0.9760937690734863,37.267857142857146,11.169939044833956,17.0,67.0,1.4490863680839539,0.7750909551978111,-0.007958871312439442,0.0015766091528348625,0.02434871876922562,0.9475920753819602,0.015707726277865642,0.9057812690734863,0.9760937690734863
4300,8806400,1754.2429091491306,4640,0.9518186420690818,0.015921925551902905,0.9001562595367432,0.9732812643051147,34.26229508196721,11.322256681949188,19.0,71.0,1.4090518355369568,0.8009458780288696,0.0020798067998839542,0.0012755956704495475,0.022848758169326133,0.9518186420690818,0.015921925551902905,0.9001562595367432,0.9732812643051147
4400,9011200,1481.1840927549026,4758,0.9502343734105428,0.017495991543672488,0.8832812309265137,0.9789062738418579,35.388888888888886,12.44159193497935,15.0,83.0,1.382313683629036,0.7809503227472305,-0.001713067431410309,0.001550506814965047,0.02009363747369345,0.9502343734105428,0.017495991543672488,0.8832812309265137,0.9789062738418579
4500,9216000,1752.452757267736,4875,0.9495230254374052,0.015589804081061063,0.9128124713897705,0.9803125262260437,35.89473684210526,11.08608138024182,14.0,62.0,1.4242550730705261,0.7868641912937164,-0.002475072056768113,0.0014978011313360184,0.02084557575630636,0.9495230254374052,0.015589804081061063,0.9128124713897705,0.9803125262260437
4600,9420800,1702.455080212208,4992,0.9495005565030235,0.019336900897838523,0.8987500071525574,0.9817187786102295,35.910714285714285,13.75068412027235,13.0,72.0,1.356461688876152,0.7916074395179749,-0.0007477570907212794,0.0016925842501223087,0.028435678466773622,0.9495005565030235,0.019336900897838523,0.8987500071525574,0.9817187786102295
4700,9625600,1795.4156548478368,5111,0.9480208313023603,0.01801887648942273,0.8917187452316284,0.9746875166893005,36.96296296296296,12.813423174275979,18.0,77.0,1.4188732504844666,0.7778148800134659,-0.0038676790354656987,0.0017471406317781657,0.020467778319707516,0.9480208313023603,0.01801887648942273,0.8917187452316284,0.9746875166893005
4800,9830400,1601.517517826573,5227,0.9458052859856532,0.01778665903032132,0.8959375023841858,0.9732812643051147,38.53846153846154,12.648291977212907,19.0,74.0,1.4468497186899185,0.7742368131875992,0.004764537530718371,0.0016945075913099572,0.027954880757113217,0.9458052859856532,0.01778665903032132,0.8959375023841858,0.9732812643051147
